stereo,threshold,win_size,frames_pairs_before,frames_pairs_after,error
A,0.0,7,24,24,3.433880215301005
B,0.0,7,19,19,3.8788239200334407
A,0.0,5,24,24,1.75383483708476
B,0.0,5,19,19,3.551942714938232
A,0.4,7,24,18,3.3844766720118504
B,0.4,7,19,13,3.497290397998476
A,0.4,5,24,24,1.75383483708476
B,0.4,5,19,19,3.551942714938232
A,0.2,5,24,19,1.5187834248820282
B,0.2,5,19,14,1.4465364847833473
A,0.1,5,24,9,0.8347042299420728
B,0.1,5,19,9,0.9964073040957294
A,0.09,5,24,7,0.7948784218188858
B,0.09,5,19,9,0.9964073040957294
