frame_no,B1_x,B1_y,B1_confidence,B2_x,B2_y,B2_confidence
1048,16,374,0.7976728677749634,1892,383,0.3
1049,71,383,0.8326795697212219,1745,404,0.848747968673706
1050,60,382,0.4,1700,411,0.8322300314903259
1051,178,402,0.8450319766998291,1657,417,0.8339241147041321
1052,225,410,0.8399996161460876,1614,425,0.7578974962234497
1053,248,411,0.7354381203857725,1575,431,0.8032627701759338
1054,311,425,0.7616109251976013,1575,423,0.4
1055,353,434,0.835638165473938,1575,423,0.3
1056,353,433,0.4,1486,447,0.6186250595838705
1057,425,451,0.8447237610816956,1431,459,0.8259002566337585
1161,517,410,0.5892741680145264,1255,364,0.4
1162,482,407,0.7502239346504211,1255,364,0.3
1163,445,404,0.4539069831371307,1255,364,0.2
1164,63,503,0.8273908495903015,1463,337,0.7811689972877502
1165,108,507,0.7024672627449036,1532,329,0.5614540576934814
1166,107,507,0.4,1598,321,0.8104907870292664
1167,147,503,0.3,1673,314,0.8171833157539368
1168,238,388,0.7788053750991821,1748,307,0.7726454138755798
1169,192,385,0.7879896759986877,1751,307,0.4
1170,142,384,0.8269013166427612,1751,307,0.3
1171,93,382,0.8395137786865234,1751,307,0.2
1172,42,380,0.82182776927948,1751,307,0.2
1203,876,533,0.4,1880,502,0.7117863297462463
1204,876,533,0.3,1884,501,0.4
1205,876,533,0.2,1903,506,0.3
1290,476,230,0.4774985313415527,1611,309,0.2
1291,527,241,0.852655827999115,1611,309,0.2
1292,587,257,0.7689394011682371,1611,309,0.2
1293,587,256,0.4,1611,309,0.2
1294,587,256,0.3,1611,309,0.2
1295,587,256,0.2,1324,384,0.7355085664991405
1296,587,256,0.2,1323,384,0.4
1297,792,310,0.8260898590087891,1323,384,0.3
1298,832,322,0.8319839239120483,1260,406,0.6975484490394592
1299,869,334,0.8639390468597412,1260,406,0.4
1300,868,339,0.4,1260,406,0.3
1301,939,356,0.8881463408470154,1260,406,0.2
1411,569,410,0.4,1451,458,0.764754056930542
1412,569,410,0.3,1449,457,0.4
1418,216,478,0.7319273722982564,1653,502,0.4339936673641205
1419,149,497,0.8393521308898926,1648,503,0.4
1420,97,511,0.8378792405128479,1726,521,0.69700688123703
1421,43,525,0.8739617466926575,1739,526,0.7984272359164586
1422,30,529,0.735508568562059,1739,525,0.4
1433,339,511,0.75020015882688,1849,563,0.2
1434,339,511,0.4,1849,563,0.2
1520,37,389,0.8152908086776733,1827,360,0.8057796955108643
1521,84,389,0.8041741251945496,1768,363,0.8369409441947937
1522,83,388,0.4,1713,366,0.7625335454940796
1523,83,388,0.3,1661,369,0.8516464829444885
1524,83,388,0.2,1612,373,0.8580095767974854
1525,83,388,0.2,1567,377,0.7468594312667847
1526,83,388,0.2,1523,381,0.832915723323822
1527,327,403,0.7756350040435791,1482,385,0.8446476459503174
1528,326,402,0.4,1444,389,0.6900387406349182
1529,394,408,0.7950153946876526,1443,393,0.4
1530,425,411,0.7823473215103149,1443,393,0.3
1531,455,415,0.7385855317115784,1336,404,0.8302398324012756
1557,964,554,0.7607194515595167,806,570,0.7215195799171936
1558,976,561,0.7486279224055142,794,577,0.7488728513810099
1559,988,567,0.6981495332093393,782,585,0.7918819624601455
1560,1000,573,0.6863827583780918,777,585,0.4
1561,1012,580,0.650069349514496,759,600,0.7881059163488464
1636,774,489,0.2,1003,490,0.2
1637,774,489,0.2,1003,490,0.2
1638,774,490,0.2,1407,497,0.4332154989242553
1639,774,489,0.2,1457,499,0.7271013259887695
1640,774,489,0.2,1508,503,0.8317015171051025
1641,412,498,0.5840811133384705,1563,508,0.7847017645835876
1642,357,501,0.7973644137382507,1619,512,0.4499663710594177
1643,294,505,0.8475607633590698,1620,505,0.4
1644,233,510,0.7966560125350952,1740,525,0.8199535012245178
1645,165,515,0.8414634466171265,1810,533,0.7675589919090271
1646,89,522,0.8582605719566345,1809,533,0.4
1647,21,529,0.8067598342895508,1809,533,0.3
1648,7,526,0.8458348514740116,1809,533,0.2
