camera,threshold,win_size,frames_before,frames_after,error
CAM_1,0.0,15,45,45,6.79
CAM_2,0.0,15,99,99,5.8
CAM_3,0.0,15,80,80,6.24
CAM_4,0.0,15,94,94,5.92
CAM_1,0.0,7,45,45,1.41
CAM_2,0.0,7,99,99,2.61
CAM_3,0.0,7,80,80,2.45
CAM_4,0.0,7,94,94,2.08
CAM_1,0.0,5,45,45,0.35
CAM_2,0.0,5,99,99,0.87
CAM_3,0.0,5,80,80,0.48
CAM_4,0.0,5,94,94,1.52
CAM_1,0.08,7,45,34,0.32
CAM_2,0.08,7,99,41,0.29
CAM_3,0.08,7,80,33,0.29
CAM_4,0.08,7,94,61,0.31
CAM_1,0.08,5,45,43,0.31
CAM_2,0.08,5,99,86,0.35
CAM_3,0.08,5,80,70,0.31
CAM_4,0.08,5,94,62,0.31
CAM_1,0.06,7,45,29,0.27
CAM_2,0.06,7,99,29,0.27
CAM_3,0.06,7,80,20,0.26
CAM_4,0.06,7,94,55,0.28
CAM_1,0.06,5,45,38,0.28
CAM_2,0.06,5,99,67,0.29
CAM_3,0.06,5,80,59,0.27
CAM_4,0.06,5,94,48,0.26
CAM_1,0.04,7,45,19,0.22
CAM_2,0.04,7,99,11,0.22
CAM_4,0.04,7,94,32,0.22
CAM_1,0.04,5,45,24,0.23
CAM_2,0.04,5,99,38,0.22
CAM_3,0.04,5,80,42,0.23
CAM_4,0.04,5,94,29,0.23
